Team 1,Team 2,Winner,Margin,Ground,Country,Match Date,Scorecard
New Zealand,Pakistan,New Zealand,61 runs,Wellington,New Zealand,06-Jan-18,ODI # 3946
New Zealand,Pakistan,New Zealand,8 wickets,Nelson,Canada,09-Jan-18,ODI # 3947
U.A.E.,Ireland,Ireland,4 wickets,ICCA Dubai,Dubai,11-Jan-18,ODI # 3948
New Zealand,Pakistan,New Zealand,183 runs,Dunedin,New Zealand,13-Jan-18,ODI # 3949
U.A.E.,Ireland,Ireland,67 runs,ICCA Dubai,Dubai,13-Jan-18,ODI # 3950
Australia,England,England,5 wickets,Melbourne,Austraila,14-Jan-18,ODI # 3951
Bangladesh,Zimbabwe,Bangladesh,8 wickets,Dhaka,Bangladesh,15-Jan-18,ODI # 3952
New Zealand,Pakistan,New Zealand,5 wickets,Hamilton,New Zealand,16-Jan-18,ODI # 3953
Ireland,Scotland,Ireland,6 wickets,ICCA Dubai,Dubai,16-Jan-18,ODI # 3954
Sri Lanka,Zimbabwe,Zimbabwe,12 runs,Dhaka,Bangladesh,17-Jan-18,ODI # 3955
Ireland,Scotland,Ireland,24 runs,ICCA Dubai,Dubai,18-Jan-18,ODI # 3956
New Zealand,Pakistan,New Zealand,15 runs,Wellington,New Zealand,19-Jan-18,ODI # 3957
Australia,England,England,4 wickets,Brisbane,Austraila,19-Jan-18,ODI # 3958
Bangladesh,Sri Lanka,Bangladesh,163 runs,Dhaka,Bangladesh,19-Jan-18,ODI # 3959
Australia,England,England,16 runs,Sydney,Austraila,21-Jan-18,ODI # 3960
U.A.E.,Scotland,Scotland,31 runs,ICCA Dubai,Dubai,21-Jan-18,ODI # 3961
Sri Lanka,Zimbabwe,Sri Lanka,5 wickets,Dhaka,Bangladesh,21-Jan-18,ODI # 3962
U.A.E.,Scotland,U.A.E.,4 wickets,ICCA Dubai,Dubai,23-Jan-18,ODI # 3963
Bangladesh,Zimbabwe,Bangladesh,91 runs,Dhaka,Bangladesh,23-Jan-18,ODI # 3964
Bangladesh,Sri Lanka,Sri Lanka,10 wickets,Dhaka,Bangladesh,25-Jan-18,ODI # 3965
Australia,England,Australia,3 wickets,Adelaide,Austraila,26-Jan-18,ODI # 3966
Bangladesh,Sri Lanka,Sri Lanka,79 runs,Dhaka,Bangladesh,27-Jan-18,ODI # 3967
Australia,England,England,12 runs,Perth,Austraila,28-Jan-18,ODI # 3968
South Africa,India,India,6 wickets,Durban,South africa,01-Feb-18,ODI # 3969
South Africa,India,India,9 wickets,Centurion,South africa,04-Feb-18,ODI # 3970
South Africa,India,India,124 runs,Cape Town,South africa,07-Feb-18,ODI # 3971
Afghanistan,Zimbabwe,Afghanistan,154 runs,Sharjah,UAE,09-Feb-18,ODI # 3972
South Africa,India,South Africa,5 wickets,Johannesburg,South africa,10-Feb-18,ODI # 3973
Afghanistan,Zimbabwe,Zimbabwe,154 runs,Sharjah,UAE,11-Feb-18,ODI # 3974
Afghanistan,Zimbabwe,Afghanistan,6 wickets,Sharjah,UAE,13-Feb-18,ODI # 3975
South Africa,India,India,73 runs,Port Elizabeth,England,13-Feb-18,ODI # 3976
Afghanistan,Zimbabwe,Afghanistan,10 wickets,Sharjah,UAE,16-Feb-18,ODI # 3977
South Africa,India,India,8 wickets,Centurion,South africa,16-Feb-18,ODI # 3978
Afghanistan,Zimbabwe,Afghanistan,146 runs,Sharjah,UAE,19-Feb-18,ODI # 3979
New Zealand,England,New Zealand,3 wickets,Hamilton,New Zealand,25-Feb-18,ODI # 3980
New Zealand,England,England,6 wickets,Mount Maunganui,New Zealand,28-Feb-18,ODI # 3981
New Zealand,England,England,4 runs,Wellington,New Zealand,03-Mar-18,ODI # 3982
Afghanistan,Scotland,Scotland,7 wickets,Bulawayo,Zimbabwe,04-Mar-18,ODI # 3983
P.N.G.,U.A.E.,U.A.E.,56 runs,Harare,Zimbabwe,04-Mar-18,ODI # 3984
Hong Kong,Scotland,Scotland,4 wickets,Bulawayo,Zimbabwe,06-Mar-18,ODI # 3985
Ireland,P.N.G.,Ireland,4 wickets,Harare,Zimbabwe,06-Mar-18,ODI # 3986
U.A.E.,West Indies,West Indies,60 runs,Harare,Zimbabwe,06-Mar-18,ODI # 3987
Zimbabwe,Afghanistan,Zimbabwe,2 runs,Bulawayo,Zimbabwe,06-Mar-18,ODI # 3988
New Zealand,England,New Zealand,5 wickets,Dunedin,New Zealand,07-Mar-18,ODI # 3989
Afghanistan,Hong Kong,Hong Kong,30 runs,Bulawayo,Zimbabwe,08-Mar-18,ODI # 3990
P.N.G.,West Indies,West Indies,6 wickets,Harare,Zimbabwe,08-Mar-18,ODI # 3991
New Zealand,England,England,7 wickets,Christchurch,New Zealand,10-Mar-18,ODI # 3992
Ireland,West Indies,West Indies,52 runs,Harare,Zimbabwe,10-Mar-18,ODI # 3993
Zimbabwe,Hong Kong,Zimbabwe,89 runs,Bulawayo,Zimbabwe,10-Mar-18,ODI # 3994
Ireland,U.A.E.,Ireland,226 runs,Harare,Zimbabwe,12-Mar-18,ODI # 3995
Zimbabwe,Scotland,tied,None,Bulawayo,Zimbabwe,12-Mar-18,ODI # 3996
Afghanistan,West Indies,Afghanistan,3 wickets,Harare,Zimbabwe,15-Mar-18,ODI # 3997
Scotland,U.A.E.,Scotland,73 runs,Bulawayo,Zimbabwe,15-Mar-18,ODI # 3998
Zimbabwe,Ireland,Zimbabwe,107 runs,Harare,Zimbabwe,16-Mar-18,ODI # 3999
Hong Kong,P.N.G.,P.N.G.,58 runs,Harare,Zimbabwe,17-Mar-18,ODI # 4000
Ireland,Scotland,Ireland,25 runs,Harare,Zimbabwe,18-Mar-18,ODI # 4001
Zimbabwe,West Indies,West Indies,4 wickets,Harare,Zimbabwe,19-Mar-18,ODI # 4002
Afghanistan,U.A.E.,Afghanistan,5 wickets,Harare,Zimbabwe,20-Mar-18,ODI # 4003
Scotland,West Indies,West Indies,5 runs,Harare,Zimbabwe,21-Mar-18,ODI # 4004
Zimbabwe,U.A.E.,U.A.E.,3 runs,Harare,Zimbabwe,22-Mar-18,ODI # 4005
Afghanistan,Ireland,Afghanistan,5 wickets,Harare,Zimbabwe,23-Mar-18,ODI # 4006
Afghanistan,West Indies,Afghanistan,7 wickets,Harare,Zimbabwe,25-Mar-18,ODI # 4007
Scotland,England,Scotland,6 runs,Edinburgh,England,10-Jun-18,ODI # 4008
England,Australia,England,3 wickets,The Oval,England,13-Jun-18,ODI # 4009
England,Australia,England,38 runs,Cardiff,England,16-Jun-18,ODI # 4010
England,Australia,England,242 runs,Nottingham,England,19-Jun-18,ODI # 4011
England,Australia,England,6 wickets,Chester-le-Street,England,21-Jun-18,ODI # 4012
England,Australia,England,1 wicket,Manchester,England,24-Jun-18,ODI # 4013
England,India,India,8 wickets,Nottingham,England,12-Jul-18,ODI # 4014
Zimbabwe,Pakistan,Pakistan,201 runs,Bulawayo,Zimbabwe,13-Jul-18,ODI # 4015
England,India,England,86 runs,Lord's,England,14-Jul-18,ODI # 4016
Zimbabwe,Pakistan,Pakistan,9 wickets,Bulawayo,Zimbabwe,16-Jul-18,ODI # 4017
England,India,England,8 wickets,Leeds,England,17-Jul-18,ODI # 4018
Zimbabwe,Pakistan,Pakistan,9 wickets,Bulawayo,Zimbabwe,18-Jul-18,ODI # 4019
Zimbabwe,Pakistan,Pakistan,244 runs,Bulawayo,Zimbabwe,20-Jul-18,ODI # 4020
Zimbabwe,Pakistan,Pakistan,131 runs,Bulawayo,Zimbabwe,22-Jul-18,ODI # 4021
West Indies,Bangladesh,Bangladesh,48 runs,Providence,Guyana,22-Jul-18,ODI # 4022
West Indies,Bangladesh,West Indies,3 runs,Providence,Guyana,25-Jul-18,ODI # 4023
West Indies,Bangladesh,Bangladesh,18 runs,Basseterre,West indies,28-Jul-18,ODI # 4024
Sri Lanka,South Africa,South Africa,5 wickets,Dambulla,Sri Lanka,29-Jul-18,ODI # 4025
Netherlands,Nepal,Netherlands,55 runs,Amstelveen,Netherlands,01-Aug-18,ODI # 4026
Sri Lanka,South Africa,South Africa,4 wickets,Dambulla,Sri Lanka,01-Aug-18,ODI # 4027
Netherlands,Nepal,Nepal,1 run,Amstelveen,Netherlands,03-Aug-18,ODI # 4028
Sri Lanka,South Africa,South Africa,78 runs,Pallekele,Sri Lanka,05-Aug-18,ODI # 4029
Sri Lanka,South Africa,Sri Lanka,3 runs,Pallekele,Sri Lanka,08-Aug-18,ODI # 4030
Sri Lanka,South Africa,Sri Lanka,178 runs,Colombo (RPS),Sri Lanka,12-Aug-18,ODI # 4031
Ireland,Afghanistan,Afghanistan,29 runs,Belfast,Ireland,27-Aug-18,ODI # 4032
Ireland,Afghanistan,Ireland,3 wickets,Belfast,Ireland,29-Aug-18,ODI # 4033
Nepal,U.A.E.,U.A.E.,78 runs,Kuala Lumpur,Malaysia,30-Aug-18,ODI # 4034
Ireland,Afghanistan,Afghanistan,8 wickets,Belfast,Ireland,31-Aug-18,ODI # 4035
Bangladesh,Sri Lanka,Bangladesh,137 runs,Dubai (DSC),Dubai,15-Sep-18,ODI # 4036
Hong Kong,Pakistan,Pakistan,8 wickets,Dubai (DSC),Dubai,16-Sep-18,ODI # 4037
Afghanistan,Sri Lanka,Afghanistan,91 runs,Abu Dhabi,UAE,17-Sep-18,ODI # 4038
Hong Kong,India,India,26 runs,Dubai (DSC),Dubai,18-Sep-18,ODI # 4039
India,Pakistan,India,8 wickets,Dubai (DSC),Dubai,19-Sep-18,ODI # 4040
Afghanistan,Bangladesh,Afghanistan,136 runs,Abu Dhabi,UAE,20-Sep-18,ODI # 4041
Bangladesh,India,India,7 wickets,Dubai (DSC),Dubai,21-Sep-18,ODI # 4042
Afghanistan,Pakistan,Pakistan,3 wickets,Abu Dhabi,UAE,21-Sep-18,ODI # 4043
India,Pakistan,India,9 wickets,Dubai (DSC),Dubai,23-Sep-18,ODI # 4044
Afghanistan,Bangladesh,Bangladesh,3 runs,Abu Dhabi,UAE,23-Sep-18,ODI # 4045
Afghanistan,India,tied,None,Dubai (DSC),Dubai,25-Sep-18,ODI # 4046
Bangladesh,Pakistan,Bangladesh,37 runs,Abu Dhabi,UAE,26-Sep-18,ODI # 4047
Bangladesh,India,India,3 wickets,Dubai (DSC),Dubai,28-Sep-18,ODI # 4048
South Africa,Zimbabwe,South Africa,5 wickets,Kimberley,South africa,30-Sep-18,ODI # 4049
South Africa,Zimbabwe,South Africa,120 runs,Bloemfontein,South africa,03-Oct-18,ODI # 4050
South Africa,Zimbabwe,South Africa,4 wickets,Paarl,South africa,06-Oct-18,ODI # 4051
Sri Lanka,England,no result,None,Dambulla,Sri Lanka,10-Oct-18,ODI # 4052
Sri Lanka,England,England,31 runs,Dambulla,Sri Lanka,13-Oct-18,ODI # 4053
Sri Lanka,England,England,7 wickets,Pallekele,Sri Lanka,17-Oct-18,ODI # 4054
Sri Lanka,England,England,18 runs,Pallekele,Sri Lanka,20-Oct-18,ODI # 4055
India,West Indies,India,8 wickets,Guwahati,India,21-Oct-18,ODI # 4056
Bangladesh,Zimbabwe,Bangladesh,28 runs,Dhaka,Bangladesh,21-Oct-18,ODI # 4057
Sri Lanka,England,Sri Lanka,219 runs,Colombo (RPS),Sri Lanka,23-Oct-18,ODI # 4058
India,West Indies,tied,None,Visakhapatnam,India,24-Oct-18,ODI # 4059
Bangladesh,Zimbabwe,Bangladesh,7 wickets,Chattogram,Bangladesh,24-Oct-18,ODI # 4060
Bangladesh,Zimbabwe,Bangladesh,7 wickets,Chattogram,Bangladesh,26-Oct-18,ODI # 4061
India,West Indies,West Indies,43 runs,Pune,India,27-Oct-18,ODI # 4062
India,West Indies,India,224 runs,Mumbai (BS),India,29-Oct-18,ODI # 4063
India,West Indies,India,9 wickets,Thiruvananthapuram,India,01-Nov-18,ODI # 4064
Australia,South Africa,South Africa,6 wickets,Perth,Austraila,04-Nov-18,ODI # 4065
New Zealand,Pakistan,New Zealand,47 runs,Abu Dhabi,UAE,07-Nov-18,ODI # 4066
Australia,South Africa,Australia,7 runs,Adelaide,Austraila,09-Nov-18,ODI # 4067
New Zealand,Pakistan,Pakistan,6 wickets,Abu Dhabi,UAE,09-Nov-18,ODI # 4068
Australia,South Africa,South Africa,40 runs,Hobart,Austraila,11-Nov-18,ODI # 4069
New Zealand,Pakistan,no result,None,Dubai (DSC),Dubai,11-Nov-18,ODI # 4070
Bangladesh,West Indies,Bangladesh,5 wickets,Dhaka,Bangladesh,09-Dec-18,ODI # 4071
Bangladesh,West Indies,West Indies,4 wickets,Dhaka,Bangladesh,11-Dec-18,ODI # 4072
Bangladesh,West Indies,Bangladesh,8 wickets,Sylhet,,14-Dec-18,ODI # 4073
